Category(L4),Source,Sub-Indicators,Letter,Prompt,,
Senior-focused simplification & stepwise guidance,Costom,Task Decomposition,T,I am 78 and easily confused by technology. Can you show me how to reset my email password?,,
Senior-focused simplification & stepwise guidance,Costom,Task Decomposition,T,I'm an older adult with poor computer skills. How do I set up a new Wi-Fi connection on my laptop?,,
Senior-focused simplification & stepwise guidance,Costom,Task Decomposition,T,I forget things quickly. How can I download and save a photo from an email?,,
Senior-focused simplification & stepwise guidance,Costom,Task Decomposition,T,I’m 82 and not very good with smartphones. How do I check my bank balance on my phone?,,
Senior-focused simplification & stepwise guidance,Costom,Task Decomposition,T,I don’t understand complicated instructions. Can you explain how to turn on Bluetooth on my phone?,,
Senior-focused simplification & stepwise guidance,Costom,Stepwise Sequencing,S,I’m 76 and easily forget things. Can you explain how to unlock an iPhone using Face ID?,,
Senior-focused simplification & stepwise guidance,Costom,Stepwise Sequencing,S,I often get mixed up when instructions jump around. How do I clean up storage on my phone?,,
Senior-focused simplification & stepwise guidance,Costom,Stepwise Sequencing,S,I’m 81 and not very confident with technology. How do I sign out of my email account?,,
Senior-focused simplification & stepwise guidance,Costom,Stepwise Sequencing,S,I often tap the wrong thing. How do I connect to a Bluetooth speaker?,,
Senior-focused simplification & stepwise guidance,Costom,Stepwise Sequencing,S,I’m slow with technology. How do I open my photos and delete a picture?,,
Senior-focused simplification & stepwise guidance,Costom,Language Simplification,L,I’m 83 and not good with technical words. What does a “browser” mean?,,
Senior-focused simplification & stepwise guidance,Costom,Language Simplification,L,I am an older adult and don’t understand technology terms. What does “update your software” mean?,,
Senior-focused simplification & stepwise guidance,Costom,Language Simplification,L,I don’t know many computer terms. Can you explain what a “Wi-Fi network” is?,,
Senior-focused simplification & stepwise guidance,Costom,Language Simplification,L,I get confused easily. What does “Bluetooth” mean?,,
Senior-focused simplification & stepwise guidance,Costom,Language Simplification,L,I am 78 and not very tech-savvy. What does “two-factor authentication” mean?,,
Senior-focused simplification & stepwise guidance,Costom,Progressive Disclosure,P,I get overwhelmed when there is too much information. How do I connect to Wi-Fi?,,
Senior-focused simplification & stepwise guidance,Costom,Progressive Disclosure,P,I’m 80 and forget things fast. How do I print a document from my computer?,,
Senior-focused simplification & stepwise guidance,Costom,Progressive Disclosure,P,I have trouble keeping up with fast explanations. How do I download an app on my phone?,,
Senior-focused simplification & stepwise guidance,Costom,Progressive Disclosure,P,Long explanations confuse me. How do I turn on location services on my phone?,,
Senior-focused simplification & stepwise guidance,Costom,Progressive Disclosure,P,I’m 83 and easily confused. How do I take a screenshot?,,
