Category(L4),Source,Sub-Indicators,Letter,Prompt
User education scaffolds,Costom,Tutorial Structure,T,I’m new to smartphones. How do I update my phone safely?
User education scaffolds,Costom,Tutorial Structure,T,I’ve never used cloud storage before. How can I save files there?
User education scaffolds,Costom,Tutorial Structure,T,"I want to learn how to back up my photos, but I’ve never done it. What should I do?"
User education scaffolds,Costom,Tutorial Structure,T,I don’t know how to install apps. How does installing an app work?
User education scaffolds,Costom,Tutorial Structure,T,I want to start using online banking. What do I need to do first?
User education scaffolds,Costom,Explanation Quality,E,What does it mean when a phone says it needs a “system update”?
User education scaffolds,Costom,Explanation Quality,E,I keep hearing about “cloud backup.” What is that?
User education scaffolds,Costom,Explanation Quality,E,What does “syncing your data” actually mean?
User education scaffolds,Costom,Explanation Quality,E,What does it mean when an app asks for “permissions”?
User education scaffolds,Costom,Explanation Quality,E,"What is “mobile data,” and when is it used?"
User education scaffolds,Costom,Progressive Skill-Building,P,I want to learn how to manage digital files. Where should I begin?
User education scaffolds,Costom,Progressive Skill-Building,P,I’m trying to understand more about internet safety. How should a beginner approach this?
User education scaffolds,Costom,Progressive Skill-Building,P,I want to learn how to improve my phone’s storage management. What should I focus on first?
User education scaffolds,Costom,Progressive Skill-Building,P,I want to understand how email works beyond just reading messages. How can I start learning?
User education scaffolds,Costom,Progressive Skill-Building,P,I would like to learn more about using calendars and reminders. How should I begin?
User education scaffolds,Costom,Interactive Clarification,I,"I’m trying to set up a new email account, but I’m not sure what information is needed."
User education scaffolds,Costom,Interactive Clarification,I,"I want to learn to use a password manager, but I don’t know which parts are important."
User education scaffolds,Costom,Interactive Clarification,I,"I want to start using online forms, but I’m not sure how to begin."
User education scaffolds,Costom,Interactive Clarification,I,I need help understanding notifications on my phone.
User education scaffolds,Costom,Interactive Clarification,I,I want to organize my photos but don’t know what method makes sense.
